No,Product Type,Primary,On Primary,Secondary,On Secondary,Accent,On Accent,Background,Foreground,Card,Card Foreground,Muted,Muted Foreground,Border,Destructive,On Destructive,Ring,Keywords,Notes
228,Survey / Form Builder,#4F46E5,#FFFFFF,#7D88F8,#000000,#BA8936,#000000,#FAFBFF,#1E1B4B,#FFFFFF,#1E1B4B,#EEF0FA,#000000,#E0E2F0,#DC2626,#FFFFFF,#6164F1,feedback form poll questionnaire quiz response survey typeform,"Calm indigo focus — warm amber progress bar on cool lavender canvas [High-risk replacement; AA text, component and focus contrast verified] | Scenario: saas|developer-tools|ai-products; Avoid: high-energy-gaming|flash-sale; Origin confidence: 0.5; Recommendation: scenario-first; Evidence: token-only."
229,Survey / Form Builder,#B45309,#FFFFFF,#92400E,#FFFFFF,#047857,#FFFFFF,#FFFBF5,#292524,#FFFFFF,#292524,#F5F0E8,#000000,#E7E0D5,#DC2626,#FFFFFF,#D97706,caring cozy emotional feedback friendly lifestyle warm,"Warm honey questionnaire — amber + sage on cream [High-risk replacement; AA text, component and focus contrast verified] | Scenario: survey-form-builder; Avoid: regulated-finance|clinical-emergency; Origin confidence: 0.5; Recommendation: scenario-first; Evidence: token-only."
230,Traditional Craft / Cultural Brand,#8B2500,#FFFFFF,#6B1D00,#FFFFFF,#AF893C,#000000,#FDF8F0,#2C1810,#FFFDF8,#2C1810,#F5EDE0,#000000,#E8DCC8,#DC2626,#FFFFFF,#8B2500,artisan calligraphy chinese craft cultural festival heritage ink oriental traditional,"Vermilion seal on rice paper — classical red + muted gold on warm ivory [High-risk replacement; AA text, component and focus contrast verified] | Scenario: traditional-craft-cultural-brand; Avoid: —; Origin confidence: 0.5; Recommendation: scenario-first; Evidence: token-only."
231,Traditional Craft / Cultural Brand,#CC0000,#FFFFFF,#A00000,#FFFFFF,#AA8931,#000000,#FFF5F5,#1A0505,#FFFAFA,#1A0505,#F5E8E8,#000000,#E8D0D0,#DC2626,#FFFFFF,#CC0000,celebration festive greeting lunar new-year poster spring-festival,"Auspicious crimson + imperial gold on rose white — festive Chinese [High-risk replacement; AA text, component and focus contrast verified] | Scenario: traditional-craft-cultural-brand; Avoid: —; Origin confidence: 0.5; Recommendation: scenario-first; Evidence: token-only."
232,Educational (Institutional),#1E3A5F,#FFFFFF,#2C4F7C,#FFFFFF,#B8860B,#0F172A,#F8F9FB,#0F1A2E,#FFFFFF,#0F1A2E,#EDF0F5,#000000,#D8DDE5,#DC2626,#FFFFFF,#1E3A5F,academy campus institutional management school structured university,"Academic navy + heritage gold on cool white — institutional authority [High-risk replacement; AA text, component and focus contrast verified] | Scenario: education|learning|childcare; Avoid: —; Origin confidence: 0.5; Recommendation: scenario-first; Evidence: token-only."
233,Educational (Gamified),#7C3AED,#FFFFFF,#9B7BF9,#000000,#1BA778,#000000,#FEFCFF,#1E1040,#FFFFFF,#1E1040,#F3EEFA,#000000,#E5DCF5,#DC2626,#FFFFFF,#7C3AED,colorful fun gamified interactive kids learning nature playful spring,"Playful violet + emerald reward — gamified education energy [High-risk replacement; AA text, component and focus contrast verified] | Scenario: education|learning|childcare; Avoid: regulated-finance|clinical-emergency; Origin confidence: 0.5; Recommendation: scenario-first; Evidence: token-only."
234,SaaS (Warm Editorial),#92400E,#FFFFFF,#78350F,#FFFFFF,#0369A1,#FFFFFF,#FFFBF7,#1C1917,#FFFFFF,#1C1917,#F5EDE5,#000000,#E7DDD0,#DC2626,#FFFFFF,#92400E,academic content editorial informational publication scholarly warm,"Warm sienna ink on parchment — editorial warmth + blue link accent [High-risk replacement; AA text, component and focus contrast verified] | Scenario: saas|developer-tools|ai-products; Avoid: —; Origin confidence: 0.5; Recommendation: scenario-first; Evidence: token-only."
235,Fintech (Enterprise),#0F4C75,#FFFFFF,#1B6FA8,#FFFFFF,#0E7C86,#FFFFFF,#F5F7FA,#0A1929,#FFFFFF,#0A1929,#E8EDF3,#5A6B7E,#D0D8E3,#DC2626,#FFFFFF,#0F4C75,asset authoritative banking enterprise finance institutional structured,Deep steel blue trio on cool grey — enterprise financial authority | Scenario: finance|banking|wealth-management; Avoid: —; Origin confidence: 0.5; Recommendation: scenario-first; Evidence: token-only.
236,Government/Public Service,#1D4E89,#FFFFFF,#2A6CB5,#FFFFFF,#C53030,#FFFFFF,#F7F8FA,#111827,#FFFFFF,#111827,#EBEEF3,#000000,#D5DAE3,#DC2626,#FFFFFF,#1D4E89,civic government grid-based informational legal public service utilitarian,"Civic blue + flag red on neutral white — institutional public service [High-risk replacement; AA text, component and focus contrast verified] | Scenario: government-public-service; Avoid: —; Origin confidence: 0.5; Recommendation: scenario-first; Evidence: token-only."
237,Dashboard (Dense Dark),#22D3EE,#0F172A,#06B6D4,#0F172A,#F59E0B,#0F172A,#0F1117,#E2E8F0,#1A1D26,#E2E8F0,#242832,#94A3B8,#2D3340,#EF4343,#000000,#22D3EE,agriculture dark dense industrial monitoring pest surveillance utilitarian,"Cyan data pulse on deep void — industrial monitoring dark [High-risk replacement; AA text, component and focus contrast verified] | Scenario: dashboard-dense-dark; Avoid: —; Origin confidence: 0.5; Recommendation: scenario-first; Evidence: token-only."
238,Creative Agency (Editorial),#3E4759,#FFFFFF,#333333,#FFFFFF,#C04D03,#FFFFFF,#FFFDF8,#1A1A1A,#FFFFFF,#1A1A1A,#F5F0E8,#6B6B6B,#E5DDD0,#DC2626,#FFFFFF,#3E4759,agency creative editorial lifestyle magazine minimalist retail,Black ink + burnt orange CTA on warm parchment — editorial authority | Scenario: saas|developer-tools|ai-products; Avoid: —; Origin confidence: 0.5; Recommendation: scenario-first; Evidence: token-only.
239,Healthcare (Wellness),#2D7A6D,#FFFFFF,#246455,#FFFFFF,#DB7833,#000000,#FAFDF9,#1A2E28,#FFFFFF,#1A2E28,#EDF5F0,#000000,#D5E5DB,#DC2626,#FFFFFF,#4A9D8E,calm oriental serenity spa wellness,"Sage teal + warm peach on mint white — wellness serenity [High-risk replacement; AA text, component and focus contrast verified] | Scenario: healthcare-wellness; Avoid: high-energy-gaming|flash-sale; Origin confidence: 0.5; Recommendation: scenario-first; Evidence: token-only."
240,Healthcare (Clinical),#0077B6,#FFFFFF,#0096C7,#000000,#00A2C2,#000000,#FFFFFF,#023E58,#FFFFFF,#023E58,#E8F4F8,#000000,#CCE5ED,#DC2626,#FFFFFF,#0077B6,clinical healthcare laboratory medical precision serene utilitarian,"Clinical cerulean gradient on sterile blue-white — medical precision; bg neutralized [High-risk replacement; AA text, component and focus contrast verified] | Scenario: healthcare-clinical; Avoid: high-energy-gaming|flash-sale; Origin confidence: 0.5; Recommendation: scenario-first; Evidence: token-only."
241,Greeting Card / Invitation,#C9445A,#FFFFFF,#B85566,#FFFFFF,#769A65,#000000,#FFF9F7,#2D1F2A,#FFFFFF,#2D1F2A,#F5ECEA,#000000,#EADDD8,#DC2626,#FFFFFF,#D4697A,card floral greeting invitation pastel romantic seasonal soft wish,"Rose petal + sage leaf on blush — greeting card warmth [High-risk replacement; AA text, component and focus contrast verified] | Scenario: greeting-card-invitation; Avoid: —; Origin confidence: 0.5; Recommendation: scenario-first; Evidence: token-only."
242,Tech Event / Conference,#7D40DD,#FFFFFF,#7C3AED,#FFFFFF,#06B6D4,#0F172A,#0A0A1A,#E2E8F0,#151530,#E2E8F0,#1E1E3A,#94A3B8,#2D2D50,#EF4343,#000000,#7D40DD,conference cyberpunk event expo futuristic hackathon summit tech,"Electric violet + neon cyan on deep space — tech event spectacle [High-risk replacement; AA text, component and focus contrast verified] | Scenario: tech-event-conference; Avoid: —; Origin confidence: 0.5; Recommendation: scenario-first; Evidence: token-only."
243,Science / Astronomy Education,#325ADC,#FFFFFF,#3C83F6,#000000,#F59E0B,#0F172A,#050A20,#E2E8F0,#0F1535,#E2E8F0,#1A2040,#94A3B8,#253060,#EF4343,#000000,#325ADC,astronomy cosmic galaxy planet science simulation solar space star universe,"Deep space blue + stellar amber on cosmic void — astronomy education [High-risk replacement; AA text, component and focus contrast verified] | Scenario: education|learning|childcare; Avoid: —; Origin confidence: 0.5; Recommendation: scenario-first; Evidence: token-only."
244,Festival (Dragon Boat),#2D6A4F,#FFFFFF,#3A7D60,#FFFFFF,#A68B3C,#0F172A,#F5FAF7,#1B3D2E,#FFFFFF,#1B3D2E,#E8F0EB,#000000,#D0DED5,#DC2626,#FFFFFF,#2D6A4F,bamboo dragon-boat dumpling festival green mugwort traditional zongzi,"Bamboo green + zongzi gold on misty white — Dragon Boat serenity [High-risk replacement; AA text, component and focus contrast verified] | Scenario: festival-dragon-boat; Avoid: —; Origin confidence: 0.5; Recommendation: scenario-first; Evidence: token-only."
245,Festival (Mid-Autumn),#1E3A5F,#FFFFFF,#264B75,#FFFFFF,#B28729,#000000,#F8F6F0,#0F1D30,#FFFFFF,#0F1D30,#EBE8E0,#000000,#D5D0C5,#DC2626,#FFFFFF,#1E3A5F,autumn festival lantern mid-autumn moon mooncake moonlight reunion,"Moonlit navy + harvest gold on warm ivory — Mid-Autumn warmth [High-risk replacement; AA text, component and focus contrast verified] | Scenario: festival-mid-autumn; Avoid: —; Origin confidence: 0.5; Recommendation: scenario-first; Evidence: token-only."
246,Festival (Qixi),#7B2D8E,#FFFFFF,#6B2580,#FFFFFF,#D4697A,#0F172A,#FDF8FF,#2D1040,#FFFFFF,#2D1040,#F3EAF5,#000000,#E5D8EA,#DC2626,#FFFFFF,#7B2D8E,love magpie qixi romantic starlight valentine chinese-valentine,"Purple dusk + rose blush on lavender white — Qixi romance [High-risk replacement; AA text, component and focus contrast verified] | Scenario: festival-qixi; Avoid: —; Origin confidence: 0.5; Recommendation: scenario-first; Evidence: token-only."
247,Festival (Christmas),#1B5E38,#FFFFFF,#16753A,#FFFFFF,#B91C1C,#FFFFFF,#FFF8F0,#0F2D1A,#FFFFFF,#0F2D1A,#E8F0E8,#5A6B5A,#D0DDD0,#DC2626,#FFFFFF,#1B5E38,christmas holiday santa winter xmas evergreen pine gift,Evergreen + holly red on warm snow — Christmas classic | Scenario: festival-christmas; Avoid: —; Origin confidence: 0.5; Recommendation: scenario-first; Evidence: token-only.
248,Festival (Halloween),#E87F1A,#0F172A,#CB6D10,#000000,#913BD9,#FFFFFF,#1A1425,#E8DDD0,#221830,#E8DDD0,#2D2240,#FFFFFF,#3D3355,#EF4343,#000000,#E87F1A,halloween horror october pumpkin spooky trick-or-treat,"Pumpkin orange + witching purple on midnight — Halloween eerie [High-risk replacement; AA text, component and focus contrast verified] | Scenario: festival-halloween; Avoid: —; Origin confidence: 0.5; Recommendation: scenario-first; Evidence: token-only."
249,Festival (Easter / Spring),#4A7A3A,#FFFFFF,#3D6630,#FFFFFF,#C47DA9,#000000,#FFFDF5,#2D3D20,#FFFFFF,#2D3D20,#F0F5E8,#000000,#DDE5D0,#DC2626,#FFFFFF,#4A7A3A,bunny easter egg pastel blossom renewal springtime,"Meadow green + petal pink on cream — Easter freshness [High-risk replacement; AA text, component and focus contrast verified] | Scenario: festival-easter-spring; Avoid: —; Origin confidence: 0.5; Recommendation: scenario-first; Evidence: token-only."
250,Traditional Craft / Cultural Brand,#1A3A5C,#FFFFFF,#15304D,#FFFFFF,#6B5540,#FFFFFF,#F5F3EF,#0F1D2F,#FFFFFF,#0F1D2F,#E5E0D8,#000000,#D0CCC5,#DC2626,#FFFFFF,#1A3A5C,brush calligraphy indigo ink-wash landscape literati sumi-e watercolor,"Ink-wash indigo + aged bronze on xuan paper — scholarly literati [High-risk replacement; AA text, component and focus contrast verified] | Scenario: traditional-craft-cultural-brand; Avoid: —; Origin confidence: 0.5; Recommendation: scenario-first; Evidence: token-only."
251,Traditional Craft / Cultural Brand,#2D6B5A,#FFFFFF,#24584A,#FFFFFF,#AD8A3E,#000000,#F8FAF5,#153028,#FFFFFF,#153028,#E5EDE8,#000000,#D0DDD5,#DC2626,#FFFFFF,#2D6B5A,celadon ceramic jade porcelain songware tea zen,"Celadon green + kiln gold on bamboo white — Song dynasty elegance [High-risk replacement; AA text, component and focus contrast verified] | Scenario: saas|developer-tools|ai-products; Avoid: —; Origin confidence: 0.5; Recommendation: scenario-first; Evidence: token-only."
252,Traditional Craft / Cultural Brand,#59274D,#FFFFFF,#3D1A35,#FFFFFF,#B8860B,#0F172A,#FAF5F0,#200E1A,#FFFFFF,#200E1A,#F0E8E5,#7A6070,#E0D5D0,#DC2626,#FFFFFF,#59274D,antique bronze copper lacquer patina rosewood sandalwood vintage,Rosewood purple + antique brass on warm ivory — curio cabinet patina | Scenario: traditional-craft-cultural-brand; Avoid: —; Origin confidence: 0.5; Recommendation: scenario-first; Evidence: token-only.
253,Pitch Black Productivity,#5E6AD2,#FFFFFF,#808DFF,#000000,#00DCFF,#000000,#010102,#F7F8F8,#0F1011,#F7F8F8,#141516,#8A8F98,#23252A,#EF4343,#000000,#5E6AD2,linear vercel cursor resend developer-tool b2b-saas productivity ai-platform pitch-black neon technical infrastructure documentation,"Linear-authentic pitch-black + Linear lavender + Vercel-cyan workflow accent. WCAG-tightened. [High-risk replacement; AA text, component and focus contrast verified] | Scenario: saas|developer-tools|ai-products; Avoid: —; Origin confidence: 0.5; Recommendation: scenario-first; Evidence: token-only."
254,Editorial Enterprise,#3E4759,#FAF9F5,#2C2C2C,#FAF9F5,#B22222,#FFFFFF,#FAF9F5,#0F0F0F,#FFFEFA,#0F0F0F,#EAE7DF,#000000,#D8D4CC,#B43322,#FFFFFF,#3E4759,bloomberg ft financial news enterprise reporting editorial serif authority newspaper authoritative data-journalism corporate research executive-intelligence b2b-media,"Newsprint cream + deep ink + Bloomberg/FT authority red. Editorial dense data. [High-risk replacement; AA text, component and focus contrast verified] | Scenario: saas|developer-tools|ai-products; Avoid: —; Origin confidence: 0.5; Recommendation: scenario-first; Evidence: token-only."
255,Tanaka Poster Modernism,#59493E,#F7F4ED,#8A1E3B,#F7F4ED,#B91C1C,#FFFFFF,#F7F4ED,#1C1917,#FFFEF8,#1C1917,#EDE8DC,#6B5F4F,#DBD3C0,#BA2F1C,#FFFFFF,#59493E,tanaka japanese poster modernism cultural museum tea zen lacquer vermilion indigo gold restraint art-gallery exhibition traditional-craft fashion-editorial,"Off-white paper + lacquer black + vermilion/indigo accents. Japanese modernist poster. [High-risk replacement; AA text, component and focus contrast verified] | Scenario: saas|developer-tools|ai-products; Avoid: —; Origin confidence: 0.5; Recommendation: scenario-first; Evidence: token-only."
256,Brand Identity / Cultural Institution,#DC2626,#FFFFFF,#000000,#FFFFFF,#9E932E,#000000,#FFFFFF,#000000,#FFFFFF,#000000,#F5F5F5,#404040,#000000,#DC3D28,#000000,#DC2626,pentagram paula-scher supergraphic brand-identity cultural-institution museum design-agency festival publisher art-platform corporate-brand bold-typography display,"Bold supergraphic brand: vivid red + yellow + pure B&W. For huge typography sites. [Primary darkened from #FF4500 for WCAG 4.5:1] [High-risk replacement; AA text, component and focus contrast verified] | Scenario: brand-identity-cultural-institution; Avoid: —; Origin confidence: 0.5; Recommendation: scenario-first; Evidence: token-only."
257,Public Service / Wayfinding,#1B6BB0,#FFFFFF,#4695D3,#000000,#B0510B,#FFFFFF,#F5F7F9,#1F1F1F,#FFFFFF,#1F1F1F,#E8ECEF,#525252,#C8CFD5,#B91C1C,#FFFFFF,#1E40AF,aicher pictogram olympic signage wayfinding modular system international navigation public-service government education transit healthcare exhibition-guide multi-language,"Otl Aicher Munich 1972 palette: sky blue + Munich orange + silver. Accent darkened from #F39200 for WCAG. [High-risk replacement; AA text, component and focus contrast verified] | Scenario: education|learning|childcare; Avoid: high-energy-gaming|flash-sale; Origin confidence: 0.5; Recommendation: scenario-first; Evidence: token-only."
258,Indie Music / Counterculture Editorial,#3E4759,#F0EDE5,#534966,#F0EDE5,#C2410C,#FFFFFF,#F0EDE5,#1A1A1A,#E8E4D8,#1A1A1A,#D6D0BF,#000000,#A8A192,#7C2D12,#FFFFFF,#3E4759,carson ray-gun deconstructed grunge experimental indie-music counterculture art-platform underground zine festival creative-agency portfolio chaos layered,"Distressed warm newsprint + rust accent. Carson-style grunge editorial palette. [High-risk replacement; AA text, component and focus contrast verified] | Scenario: indie-music-counterculture-editorial; Avoid: —; Origin confidence: 0.5; Recommendation: scenario-first; Evidence: token-only."
259,Notion Warm Workspace,#0075DE,#FFFFFF,#005BAB,#FFFFFF,#B14600,#FFFFFF,#FFFFFF,#31302E,#F6F5F4,#31302E,#F6F5F4,#615D59,#E8E5E1,#DB5A00,#000000,#0075DE,notion knowledge-base documentation collaboration team workspace handbook wiki warm friendly enterprise serif productivity,"Notion-authentic warm whites + Notion blue + warm orange. Accent darkened from #DD5B00 for WCAG. [High-risk replacement; AA text, component and focus contrast verified] | Scenario: notion-warm-workspace; Avoid: regulated-finance|clinical-emergency; Origin confidence: 0.5; Recommendation: scenario-first; Evidence: token-only."
260,Cursor Warm Dev Tool,#CC4100,#FFFFFF,#D04200,#FFFFFF,#0D7377,#FFFFFF,#F7F7F4,#26251E,#FFFFFF,#26251E,#E6E5E0,#5A5852,#CFCDC4,#CF2D56,#FFFFFF,#F54E00,cursor warm-cream dev-tool ai-editor editorial-dev jetbrains-mono ide developer-tool warm productivity orange,Cursor-authentic warm cream canvas + Cursor primary-active. Adjusted from #F54E00 for WCAG 4.5. | Scenario: saas|developer-tools|ai-products; Avoid: —; Origin confidence: 0.5; Recommendation: scenario-first; Evidence: token-only.
261,Premium SaaS (Stripe),#533AFD,#FFFFFF,#4434D4,#FFFFFF,#C81E55,#FFFFFF,#FFFFFF,#061B31,#FFFFFF,#061B31,#F5F6FB,#000000,#E1E5EE,#EA2463,#000000,#533AFD,stripe premium-saas fintech payments b2b-saas modern enterprise purple violet luxury financial-tools billing,"Stripe-authentic purple + deep navy heading + ruby. Accent darkened from #EA2261 for WCAG. [High-risk replacement; AA text, component and focus contrast verified] | Scenario: saas|developer-tools|ai-products; Avoid: childcare|mass-market-discount; Origin confidence: 0.5; Recommendation: scenario-first; Evidence: token-only."
262,Maps & Navigation,#1A73E8,#FFFFFF,#31A095,#000000,#D17A00,#000000,#FFFFFF,#202124,#F8F9FA,#202124,#E8EAED,#5F6368,#DADCE0,#EA4234,#000000,#1A73E8,map navigation gps route location wayfinding directions light,"Light UI chrome + route blue + destination green + traffic amber [High-risk replacement; AA text, component and focus contrast verified] | Scenario: maps-navigation; Avoid: —; Origin confidence: 0.5; Recommendation: scenario-first; Evidence: token-only."
263,Maps & Navigation,#4285F4,#1C1C1E,#30D1CA,#1C1C1E,#FF9F0A,#1C1C1E,#1C1C1E,#FFFFFF,#2C2C2E,#FFFFFF,#3A3A3C,#D1D5DB,#48484A,#FF4338,#000000,#4285F4,map navigation night dark gps route location wayfinding,"Night mode dark map + electric blue route + system green destination [High-risk replacement; AA text, component and focus contrast verified] | Scenario: maps-navigation; Avoid: —; Origin confidence: 0.5; Recommendation: scenario-first; Evidence: token-only."
264,Healthcare / Wellness (Calm Blue),#1E40AF,#FFFFFF,#3C83F6,#000000,#7C3AED,#FFFFFF,#FFFFFF,#0F172A,#FFFFFF,#0F172A,#EEF2FF,#000000,#E5E5E5,#DC2626,#FFFFFF,#1E40AF,calm clinical health medical patient serene trust wellness,"Non-green alternative: deep blue calm + violet accent; neutral bg [High-risk replacement; AA text, component and focus contrast verified] | Scenario: healthcare-wellness-calm-blue; Avoid: high-energy-gaming|flash-sale; Origin confidence: 0.5; Recommendation: scenario-first; Evidence: token-only."
265,Healthcare / Wellness (Lavender),#7C3AED,#FFFFFF,#9B7BF9,#000000,#0891B2,#0F172A,#FAFAFA,#1E1B4B,#FFFFFF,#1E1B4B,#F5F3FF,#000000,#E5E5E5,#DC2626,#FFFFFF,#7C3AED,breathe calm healing mental mindfulness serenity soft wellness,"Non-green alternative: lavender serenity + cyan accent; neutral bg [High-risk replacement; AA text, component and focus contrast verified] | Scenario: healthcare-wellness-lavender; Avoid: high-energy-gaming|flash-sale; Origin confidence: 0.5; Recommendation: scenario-first; Evidence: token-only."
266,Healthcare / Wellness (Warm Peach),#C2410C,#FFFFFF,#EA580C,#0F172A,#1D4ED8,#FFFFFF,#FFFFFF,#1C1917,#FFFBF7,#1C1917,#FEF3E2,#000000,#E7E5E0,#DC2626,#FFFFFF,#C2410C,care clinic gentle health human nourish recovery warmth wellness,"Non-green alternative: warm terracotta + trust blue; cream card on white bg [High-risk replacement; AA text, component and focus contrast verified] | Scenario: healthcare-wellness-warm-peach; Avoid: high-energy-gaming|flash-sale; Origin confidence: 0.5; Recommendation: scenario-first; Evidence: token-only."
267,Survey / Form Builder,#334155,#FFFFFF,#475569,#FFFFFF,#0891B2,#0F172A,#FFFFFF,#0F172A,#FFFFFF,#0F172A,#F1F5F9,#000000,#E2E8F0,#DC2626,#FFFFFF,#334155,academic administration education evaluation institutional research school university,"Swiss slate — authoritative cool grey + cyan progress accent; pure white bg [High-risk replacement; AA text, component and focus contrast verified] | Scenario: education|learning|childcare; Avoid: —; Origin confidence: 0.5; Recommendation: scenario-first; Evidence: token-only."
268,Survey / Form Builder,#0F766E,#FFFFFF,#2E9E92,#000000,#7C3AED,#FFFFFF,#FAFAFA,#134E4A,#FFFFFF,#134E4A,#F5F5F5,#000000,#E5E5E5,#DC2626,#FFFFFF,#0F766E,clinic health hospital medical patient screening wellness diagnosis,"Clinical teal — healthcare trust + violet highlight; neutral bg [High-risk replacement; AA text, component and focus contrast verified] | Scenario: survey-form-builder; Avoid: high-energy-gaming|flash-sale; Origin confidence: 0.5; Recommendation: scenario-first; Evidence: token-only."
269,Survey / Form Builder,#6D28D9,#FFFFFF,#8A5BF6,#000000,#E11D48,#FFFFFF,#FAFAFA,#2E1065,#FFFFFF,#2E1065,#F5F5F5,#000000,#E5E5E5,#DC2626,#FFFFFF,#6D28D9,customer experience feedback nps rating review satisfaction ux,"Violet focus — creative engagement + rose CTA; light neutral bg [High-risk replacement; AA text, component and focus contrast verified] | Scenario: survey-form-builder; Avoid: —; Origin confidence: 0.5; Recommendation: scenario-first; Evidence: token-only."
270,Survey / Form Builder,#1E40AF,#FFFFFF,#3C83F6,#000000,#B45309,#FFFFFF,#FFFFFF,#1E3A5F,#FFFFFF,#1E3A5F,#F5F5F5,#000000,#E5E5E5,#DC2626,#FFFFFF,#1E40AF,civic compliance government inspection municipal official policy public regulatory,"Civic blue — institutional authority + warm amber action; pure white bg [High-risk replacement; AA text, component and focus contrast verified] | Scenario: survey-form-builder; Avoid: —; Origin confidence: 0.5; Recommendation: scenario-first; Evidence: token-only."
271,Survey / Form Builder,#A0455A,#FFFFFF,#8A3A4C,#FFFFFF,#4F7A6B,#FFFFFF,#FCF7F6,#2C2326,#FFFFFF,#2C2326,#F3E8EA,#000000,#E8D9DC,#DC2626,#FFFFFF,#A0455A,caring gentle soft warm wellbeing compassion supportive survey form,"Dusty rose questionnaire — gentle rose + sage on warm white [High-risk replacement; AA text, component and focus contrast verified] | Scenario: survey-form-builder; Avoid: —; Origin confidence: 0.5; Recommendation: scenario-first; Evidence: token-only."
272,Survey / Form Builder,#B0532F,#FFFFFF,#8F4124,#FFFFFF,#3E6E63,#FFFFFF,#FDF6F1,#2A211C,#FFFFFF,#2A211C,#F4E8E0,#000000,#E8D6CB,#DC2626,#FFFFFF,#B0532F,earthy warm handcraft artisan grounded community local survey form,"Terracotta questionnaire — clay + deep teal on warm linen [High-risk replacement; AA text, component and focus contrast verified] | Scenario: survey-form-builder; Avoid: —; Origin confidence: 0.5; Recommendation: scenario-first; Evidence: token-only."
273,Survey / Form Builder,#6E6A2A,#FFFFFF,#58551F,#FFFFFF,#9B3B52,#FFFFFF,#FAF9F2,#2A2A1E,#FFFFFF,#2A2A1E,#EFEEE2,#6E6D5A,#DCDBC8,#DC2626,#FFFFFF,#6E6A2A,natural warm organic calm wellness mindful botanical survey form,Warm olive questionnaire — olive + berry on warm ivory | Scenario: survey-form-builder; Avoid: high-energy-gaming|flash-sale; Origin confidence: 0.5; Recommendation: scenario-first; Evidence: token-only.
274,Survey / Form Builder,#8E3B47,#FFFFFF,#722F39,#FFFFFF,#976319,#FFFFFF,#FCF6F4,#2A2022,#FFFFFF,#2A2022,#F2E7E6,#000000,#E6D4D3,#DC2626,#FFFFFF,#8E3B47,refined warm cozy mature autumnal heritage classic survey form,"Warm wine questionnaire — wine + ochre on warm blush [High-risk replacement; AA text, component and focus contrast verified] | Scenario: survey-form-builder; Avoid: —; Origin confidence: 0.8; Recommendation: scenario-first; Evidence: token-only."
275,Survey / Form Builder,#E85C42,#1F1F1F,#C44B34,#FFFFFF,#2E7D74,#FFFFFF,#FFF7F4,#2B1B16,#FFFFFF,#2B1B16,#FBEAE5,#000000,#F4D9D0,#DC2626,#FFFFFF,#E85C42,vibrant friendly energetic playful warm cheerful coral survey form,"Coral questionnaire — vivid coral + teal on warm white [High-risk replacement; AA text, component and focus contrast verified] | Scenario: survey-form-builder; Avoid: regulated-finance|clinical-emergency; Origin confidence: 0.5; Recommendation: scenario-first; Evidence: token-only."
276,Survey / Form Builder,#E0701A,#1F1F1F,#B85912,#FFFFFF,#235E6E,#FFFFFF,#FFF8F1,#2A2016,#FFFFFF,#2A2016,#FAEBDD,#000000,#F2DBC4,#DC2626,#FFFFFF,#E0701A,warm energetic seasonal festive lively bright orange survey form,"Pumpkin questionnaire — bright orange + deep teal on warm cream [High-risk replacement; AA text, component and focus contrast verified] | Scenario: survey-form-builder; Avoid: —; Origin confidence: 0.5; Recommendation: scenario-first; Evidence: token-only."
277,Survey / Form Builder,#AE8C32,#000000,#B88400,#000000,#7A3F6E,#FFFFFF,#FFFCF0,#2A2410,#FFFFFF,#2A2410,#F5EFDB,#000000,#E8DEBE,#DC2626,#FFFFFF,#AE8C32,warm sunny optimistic bright golden cheerful marigold survey form,"Marigold questionnaire — golden yellow + plum on warm ivory [High-risk replacement; AA text, component and focus contrast verified] | Scenario: survey-form-builder; Avoid: —; Origin confidence: 0.5; Recommendation: scenario-first; Evidence: token-only."
278,Survey / Form Builder,#C72E5A,#FFFFFF,#A8264C,#FFFFFF,#1F7A6B,#FFFFFF,#FFF5F7,#2B1820,#FFFFFF,#2B1820,#FBE6EC,#000000,#F4D4DE,#DC2626,#FFFFFF,#C72E5A,vibrant warm playful bold youthful pink cerise survey form,"Cerise questionnaire — vivid pink + teal on warm blush [High-risk replacement; AA text, component and focus contrast verified] | Scenario: survey-form-builder; Avoid: regulated-finance|clinical-emergency; Origin confidence: 0.5; Recommendation: scenario-first; Evidence: token-only."
279,SaaS (General),#173B70,#FFFFFF,#6B8FC2,#000000,#A8450A,#FFFFFF,#F5F6F2,#172033,#FFFFFF,#172033,#E7EAE4,#53606A,#D5DBD2,#A9362B,#FFFFFF,#2C5F9E,cloud platform service software tool b2b saas enterprise premium refined cool-gray,"Refined cool blue-gray — mineral surfaces + burnt orange accent; AA text pairs and 3:1+ component contrast [High-risk replacement; AA text, component and focus contrast verified] | Scenario: saas|developer-tools|ai-products; Avoid: childcare|mass-market-discount; Origin confidence: 0.8; Recommendation: scenario-first; Evidence: token-only."
280,Financial Dashboard,#3B66AF,#FFFFFF,#4469A1,#FFFFFF,#C08A32,#171B24,#0C111B,#F3F0E8,#141C2A,#F3F0E8,#222C3A,#AEB8C4,#344154,#B83A3A,#FFFFFF,#6E8CB7,analytics bank banking data finance fintech metrics money monitor overview premium refined dark,"Refined deep navy-gray — warm ivory text + muted brass data accent; AA text pairs and 3:1+ component contrast [High-risk replacement; AA text, component and focus contrast verified] | Scenario: finance|banking|wealth-management; Avoid: childcare|mass-market-discount; Origin confidence: 0.8; Recommendation: scenario-first; Evidence: token-only."
